Date,ASIANPAINT.BO,BHARTIARTL.BO,ICICIBANK.BO,INFY.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TATASTEEL.BO,WIPRO.BO,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO,Open
12-04-2022,3109.321533,738.3181152,759.5928345,1704.574219,7563.717285,18230.98242,2552.462891,504.8268433,1243.973267,557.4763794,4617.949219,116.6397247,721.06604,3237.59668,1022.333679,1613.5,1247.532593,121.9285278,1326.769775,25092.78711,57458.60156
13-04-2022,3058.835449,737.4221191,757.8035278,1711.621704,7422.944824,18145.81445,2544.786133,509.5531006,1242.748657,557.925293,4730.790039,115.9116364,721.06604,3240.113525,1011.38678,1602.599976,1265.512573,123.620636,1315.691162,25312.68945,57531.94922
18-04-2022,3000.705078,726.5703125,754.2250366,1587.115234,7524.972656,18349.53906,2536.510986,501.5774841,1261.541748,537.4257813,4541.408691,110.572319,714.9430542,3232.418457,1022.134521,1604.699951,1270.578979,123.8140259,1300.131836,25380.1875,56757.64063
19-04-2022,2967.047852,719.352417,762.0779419,1530.832764,7389.316406,17749.39063,2630.527832,503.7929382,1248.589111,529.4454346,4807.679199,109.9413071,699.2623291,3166.650391,994.1704102,1566.349976,1273.608643,126.0379486,1287.773071,24828.18164,57066.23828
20-04-2022,3061.119141,736.1278687,751.0440674,1554.226685,7618.456543,18115.93945,2710.237793,501.5282593,1237.520386,535.3808594,4769.384277,109.2617645,710.3632813,3196.267822,1006.958252,1578.550049,1289.949829,128.8903503,1295.405029,25651.82617,56983.67969
21-04-2022,3134.092773,731.4984131,757.7041626,1584.227661,7824.300781,18098.14648,2773.796387,508.371521,1226.687378,537.8746948,4870.407227,110.5237808,711.8566895,3249.405029,993.3743286,1594.650024,1313.194824,130.5341187,1313.475464,26003.5332,57296.30859
22-04-2022,3142.085205,735.4807129,742.8929443,1552.122192,7851.521484,18093.22461,2750.167725,492.7156982,1203.655273,536.5280151,4801.546387,108.1938934,713.151001,3255.599609,962.3251343,1572.300049,1308.078979,129.8572693,1292.5,25788.51758,57817.51172
25-04-2022,3107.633789,736.1776733,748.3104858,1528.38562,7858.972168,18071.45313,2686.758789,487.103241,1149.819214,528.0488892,4661.230469,107.9512024,712.5039063,3191.331299,949.0396729,1510.349976,1293.526001,123.4756012,1277.199951,25618.40234,56429.44922
26-04-2022,3103.215576,752.8535156,749.2051392,1546.298218,7849.583984,18309.18945,2767.365723,498.2297058,1162.018311,528.0488892,4610.619141,112.077034,716.3369141,3263.24585,973.7695313,1583.5,1315.380371,124.6842499,1299.949951,26157.03711,57124.91016
27-04-2022,3125.75293,750.21521,732.6544189,1520.310425,7736.92627,18118.42383,2769.559082,489.3679199,1174.217285,517.9737549,4509.994629,112.708046,714.6444092,3229.901855,972.625061,1570.25,1309.817505,123.2822189,1252.400024,25559.33594,56255.07031
28-04-2022,3225.036865,743.9431152,742.8432617,1549.773071,7836.321777,18322.46094,2810.735352,499.2635803,1187.970703,521.265625,4517.374512,112.319725,726.1436157,3252.018311,977.5511475,1589,1307.532593,125.6028214,1276.349976,25811.91602,54928.28906
29-04-2022,3216.101318,736.4265137,739.1156616,1534.699219,7682.137207,18200.68555,2782.420654,488.8756104,1197.955933,507.7489319,4445.571289,109.6015396,715.5404663,3177.781006,977.1033325,1573,1303.658447,121.8318405,1264.150024,25994.60547,54188.21094
02-05-2022,3175.742188,738.1688232,736.5808716,1508.613525,7591.53418,18305.21289,2772.201416,483.2138977,1219.999023,493.8331909,4292.640137,109.5044556,709.9152832,3167.569824,972.0777588,1615.5,1280.810791,122.4603424,1273.550049,26157.1875,54309.30859
04-05-2022,3077.997314,719.4021606,719.5828857,1503.425659,7351.167969,17991.67773,2685.063721,472.2351379,1188.300415,490.6410828,4002.68457,104.9903107,684.4278564,3272.779541,952.7217407,1545.599976,1244.701416,121.6867981,1252.949951,25140.42969,54544.91016
