Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS,Open
05-04-2022,842.2154541,373.4303589,169.9297638,1140.904297,2274.135498,2088.287109,142.568573,159.8577423,919.1582642,1442.609619,346.7401733,543.8659058,391.1223145,106.4356537,1250.314819,45.20000076,543.9000244,4728.124512,2203.432373,324.1293945,18080.59961
06-04-2022,844.0030518,379.1300659,175.3107452,1117.092651,2288.420166,2090.48291,146.2977295,160.7414398,918.1690063,1413.835815,349.7353516,536.4353638,394.9422302,107.4950409,1243.559814,48.75,521.2999878,4711.486328,2225.543701,334.7299805,17842.75
07-04-2022,811.7763672,374.2164917,172.5072174,1119.765015,2292.02832,2112.685303,146.7758179,157.0670929,920.9885254,1422.748901,352.7804565,545.4510498,398.1172791,106.4025421,1240.927368,47.75,512,4800.358398,2308.448975,329.2362366,17723.30078
08-04-2022,833.5256958,377.9016724,175.9437866,1112.177612,2303.582764,2130.49585,145.3893585,158.9740295,914.7064209,1403.566406,354.4277649,551.7918091,393.0074768,107.3626175,1259.553223,47.54999924,517.7999878,4832.340332,2294.966309,332.9502869,17698.15039
11-04-2022,848.6707764,381.6359863,177.6168518,1081.780884,2277.206787,2110.977295,146.3933563,159.2530975,915.4979248,1404.002441,350.7836609,547.2839966,400.052063,108.9848099,1266.755127,47.34999847,519.5499878,4865.169922,2275.845703,338.7148438,17740.90039
12-04-2022,839.0871582,374.019989,168.2114868,1079.538208,2240.641113,2080.918701,145.9152527,157.1135864,911.4417725,1370.869019,348.5871887,548.62146,390.4773865,110.3752594,1247.483765,45.95000076,517.9000244,4769.322754,2230.740723,322.6592407,17584.84961
13-04-2022,834.7174072,372.4476318,168.7541199,1073.76416,2217.726807,2100.3396,147.2061157,162.0902557,926.7264404,1366.460815,350.1347351,550.7515259,388.2449341,111.6663971,1265.265137,47.34999847,519.7000122,4736.394043,2239.026123,329.4683533,17599.90039
18-04-2022,836.9022827,365.3229675,171.3315277,1051.479614,2228.452637,2125.225586,156.0509033,163.5321045,917.5754395,1302.616211,342.6468201,557.4885254,385.8140869,111.2029114,1271.324951,47.04999924,517.8499756,4649.414551,2183.331299,328.1916809,17183.44922
19-04-2022,813.663269,369.3521118,178.8377533,1021.416931,2206.854736,2062.181152,153.6126099,164.7878876,912.1342773,1260.618164,337.4052734,543.9154053,374.8503418,112.560257,1277.285156,45.95000076,504.1000061,4595.015625,2186.027588,330.8224487,17258.94922
20-04-2022,821.9558716,383.2083435,180.0586548,1039.693237,2218.165771,2112.831543,153.4691925,163.2530212,913.6182251,1268.368652,351.98172,545.2033691,374.7511597,109.6469345,1290.745361,46.54999924,510.6499939,4626.001465,2181.615234,326.4506836,17045.25
21-04-2022,844.6486206,390.8243408,187.1126709,1049.046021,2259.89917,2145.037354,155.5728149,161.9972229,933.9978027,1271.759521,373.3472595,556.6464233,386.8062744,108.5875397,1312.00354,46.45000076,518.2000122,4615.041504,2195.784424,328.8106689,17234.59961
22-04-2022,868.1359253,386.5986633,182.8169403,1051.766113,2237.082275,2075.746338,153.4213715,161.8576965,914.9043579,1265.75293,374.9446411,554.664917,376.7355347,108.7199631,1307.58313,46,523.2000122,4638.953125,2131.068359,321.7307434,17242.75
25-04-2022,853.6363525,363.3084412,170.4271698,1040.122681,2231.573242,2050.177246,149.2619324,157.811264,890.3696899,1230.778809,380.2361145,546.1941528,361.1580811,104.5155029,1293.278564,44.84999847,515.5499878,4485.917969,2071.892334,311.130188,17009.05078
26-04-2022,903.2427368,366.4039612,173.095047,1044.369751,2347.266602,2096.631348,150.1224976,155.2996826,908.2265625,1235.671265,379.4373779,554.7144775,375.8425293,103.9858093,1317.169067,45.25,530.2999878,4522.433105,2158.915771,318.480957,17121.30078
27-04-2022,881.1954346,360.1637268,169.5680389,1045.610107,2437.705322,2093.459717,148.8316345,153.3462219,896.4043579,1221.914185,381.3343506,554.664917,372.8163452,103.0588379,1307.285034,47.29999924,529.9000244,4463.948242,2118.713379,319.2933655,17073.34961
28-04-2022,880.9967651,362.9644775,172.0550385,1060.067993,2454.574463,2187.880371,152.7042236,153.2997131,911.1449585,1231.650757,376.1427307,566.9501343,376.6859131,104.482399,1308.377808,46.34999847,542.5999756,4646.126953,2104.495361,318.5196533,17189.5
29-04-2022,850.5080566,356.3311768,165.3627625,1047.211304,2444.189697,2181.049072,149.3575439,149.2532654,918.7131348,1219.734375,367.8561096,551.5441284,368.9468079,105.3762589,1303.113037,45.29999924,521.7000122,4634.171387,2117.978027,315.9662476,17329.25
02-05-2022,850.6569824,360.114624,169.7036743,1035.227905,2425.321777,2176.803467,150.6006012,145.4393921,913.5193481,1192.801392,372.1990662,552.0394897,364.6803589,104.3168716,1281.308228,45.5,522.9000244,4513.416016,2088.365479,315.5793457,16924.44922
04-05-2022,807.2080078,357.1664734,169.432373,1013.929504,2349.460449,2119.272705,151.7002258,150.9276581,891.2600708,1174.97522,366.4583435,533.0668335,345.6798706,104.3168716,1244.702393,43.20000076,519.5499878,4209.884766,1986.780884,305.7912292,17096.59961
05-05-2022,805.7679443,354.7588196,168.0758362,1040.224976,2439.314209,2114.441895,151.4611664,153.3462219,868.75354,1223.94873,361.5163269,524.1502075,337.345459,106.8329239,1240.828125,41.40000153,519.75,4112.742676,1983.447144,313.5288696,16854.75
06-05-2022,805.817627,351.1227722,169.4776001,1019.023621,2499.477051,2097.460693,152.0348969,155.2996826,873.8483887,1250.494141,347.4390564,506.0692139,326.5801697,106.0714874,1230.348022,41.15000153,503.6499939,3883.737061,1937.116455,302.3703308,16415.55078
09-05-2022,787.1469727,347.2902222,165.5436249,1044.154785,2430.635986,2065.694336,152.0348969,153.2532043,875.9259644,1221.817383,338.0042725,499.8771057,324.6454163,103.3567963,1207.450684,40.40000153,489.4500122,3806.670654,1927.212769,293.7707214,16227.7002
10-05-2022,763.8086548,347.3393555,153.7868958,1040.710327,2408.209229,2127.909668,148.6403961,143.6719666,852.6279297,1203.555176,330.2667847,497.8956299,315.7156982,98.58953857,1216.192383,40.04999924,502.0499878,3690.449219,1876.616699,277.158844,16248.90039
11-05-2022,754.6719971,341.0991516,153.6060333,1029.406006,2408.745605,2111.416504,145.8674469,147.5323792,845.6533813,1186.261841,333.7112122,502.4035034,323.7028198,99.74825287,1221.109619,38.75,501.75,3656.723389,1837.49292,273.425354,16270.0498
12-05-2022,708.3925171,334.0727539,151.0738068,1027.950562,2341.367432,2087.311279,142.0426788,145.5789185,840.9047241,1174.97522,327.4213867,493.7345276,319.6844482,99.51650238,1191.606201,36.65000153,500.1499939,3526.503418,1779.787842,263.6511536,16021.09961
13-05-2022,701.043457,331.1246338,152.5660095,1020.915833,2388.122314,2141.279785,137.8354034,142.8347778,873.0570068,1165.335571,325.6242676,496.1618347,316.4102173,97.86121368,1226.771729,36.25,500.0499878,3452.775146,1776.159912,245.7388153,15977
16-05-2022,707.5980225,330.2893066,155.2790985,1013.541443,2433.70752,2163.872559,141.7558136,142.788269,876.1237183,1151.965942,319.3843384,492.1988831,324.7942505,99.78135681,1227.814941,37.25,495.6000061,3534.175049,1838.277344,240.9146423,15845.09961
